Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
byte_clk                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_23_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_22_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_21_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_20_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_19_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_18_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_17_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_16_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_15_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_14_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_13_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_12_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_11_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_10_                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_9_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_8_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_7_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_6_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_5_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_4_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_3_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_2_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_1_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXDATA_0_                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
DE                                | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
PIXCLK                            | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_fifo_7_0_pixel2byte_fifo_0_0    | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_fifo_15_8_pixel2byte_fifo_0_0   | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
u_fifo_23_16_pixel2byte_fifo_0_0  | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
GSR_INST                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut4                              | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
gnd                               | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vmuxregsre                        | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
vcc                               | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
FL1P3DX                           | ovi_machxo2 |      | 10.3.3558.6081  (Windows) | -vendor lattice -v2k
lut40001                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40002                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40003                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40004                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40005                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40006                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40007                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40008                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
lut40009                          | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
